wspx,wspy
1,0
-100,20
20,1
4,7
-40,2
-10,8
-15,-5
7,17
-30,50
0,-200
3,4
3,8
-3,7
9,12
-23,-10
7,17
0,0
8,8
-7,19
90,-23
12,45
23,11
7,17
90,1
99,-209
100,-210
45,45
70,-50
-4,5
4,4
6,-7
-3,-8
5,7
7,17
-40,-100
-20,-170
-1,20
1,20
-30,-70
4,25
4,8
-14,7
7,50
90,90
-70,10
2,15
-30,20
2,14
7,17
7,3
1,2
3,-3
7,17
17,7
8,100
-100,8
3,19
25,-90
7,17
4,-5
-9,8
7,2
1,2
1,0
1,-10
2,2
-4,-23
-1,-1
1,9
1,27
-25,6
-100,60
-97,-5
4,-4
9,-10
-12,-67
7,17
1,2
45,-90
7,1
1,7
1,2
-69,29
1,87
0,0
7,7
-109,23
88,88
20,1
1,-90
-110,88
17,7
-7,-17
10,0
10,10
-10,10
1,11
23,-34
-82,1
27,86
